stamp,d_fin,p_fin,s_fin,thruster
1684869339.82194,0,-0.081681408,0.08011061,0.5
1684869339.86147,0,-0.081681408,0.08011061,0.5
1684869339.9025,0,-0.072256632,0.070685834,0.5
1684869339.94338,0,-0.072256632,0.070685834,0.5
1684869339.98263,0,-0.072256632,0.070685834,0.5
1684869340.02234,0,-0.069115035,0.067544244,0.5
1684869340.06152,0,-0.069115035,0.067544244,0.5
1684869340.10223,0,-0.069115035,0.067544244,0.5
1684869340.14611,0,-0.059690259,0.058119465,0.5
1684869340.1835,0,-0.053407077,0.051836278,0.5
1684869340.22261,0,-0.053407077,0.051836278,0.5
1684869340.26207,0,-0.053407077,0.051836278,0.5
1684869340.30165,0,-0.054977871,0.053407077,0.5
1684869340.34215,0,-0.054977871,0.053407077,0.5
1684869340.38317,0,-0.054977871,0.053407077,0.5
1684869340.42241,0,-0.045553092,0.043982297,0.5
1684869340.46191,0,-0.045553092,0.043982297,0.5
1684869340.50178,0,-0.045553092,0.043982297,0.5
1684869340.54158,0,-0.043982297,0.042411502,0.5
1684869340.58204,0,-0.026703538,0.025132742,0.5
1684869340.62255,0,-0.026703538,0.025132742,0.5
1684869340.66259,0,-0.026703538,0.025132742,0.5
1684869340.70215,0,0,0,0
1684869340.74204,0,-0.298451304,0.296880513,0.5
1684869340.78168,0,-0.298451304,0.296880513,0.5
1684869340.82153,0,-0.40526545,0.403694659,0.5
1684869340.86174,0,-0.40526545,0.403694659,0.5
1684869340.90255,0,-0.40526545,0.403694659,0.5
1684869340.94187,0,-0.301592886,0.300022095,0.5
1684869340.9819,0,-0.301592886,0.300022095,0.5
1684869341.02278,0,-0.301592886,0.300022095,0.5
1684869341.06238,0,-0.29059732,0.289026529,0.5
1684869341.10308,0,-0.29059732,0.289026529,0.5
1684869341.14259,0,-0.252898216,0.251327425,0.5
1684869341.1818,0,-0.252898216,0.251327425,0.5
1684869341.22184,0,-0.201061934,0.199491128,0.5
1684869341.2617,0,-0.201061934,0.199491128,0.5
1684869341.3019,0,-0.201061934,0.199491128,0.5
1684869341.34166,0,-0.109955743,0.108384944,0.5
1684869341.38334,0,-0.109955743,0.108384944,0.5
1684869341.42245,0,-0.109955743,0.108384944,0.5
1684869341.46213,0,-0.036128316,0.034557518,0.5
1684869341.50249,0,-0.036128316,0.034557518,0.5
1684869341.54225,0,0.067544244,-0.069115035,0.5
1684869341.58193,0,0.067544244,-0.069115035,0.5
1684869341.62195,0,0.128805295,-0.130376101,0.5
1684869341.66263,0,0.128805295,-0.130376101,0.5
1684869341.70159,0,0.128805295,-0.130376101,0.5
1684869341.74182,0,0.182212368,-0.183783174,0.5
1684869341.78171,0,0.182212368,-0.183783174,0.5
1684869341.82271,0,0.182212368,-0.183783174,0.5
1684869341.86259,0,0.204203516,-0.205774322,0.5
1684869341.9021,0,0.204203516,-0.205774322,0.5
1684869341.9421,0,0.208915904,-0.21048671,0.5
1684869341.98221,0,0.208915904,-0.21048671,0.5
1684869342.02274,0,0.201061934,-0.202632725,0.5
1684869342.06267,0,0.201061934,-0.202632725,0.5
1684869342.10183,0,0.201061934,-0.202632725,0.5
1684869342.14182,0,0.174358398,-0.175929189,0.5
1684869342.18158,0,0.174358398,-0.175929189,0.5
1684869342.22128,0,0.174358398,-0.175929189,0.5
1684869342.26156,0,0.149225652,-0.150796443,0.5
1684869342.30286,0,0.149225652,-0.150796443,0.5
1684869342.34251,0,0.125663713,-0.127234504,0.5
1684869342.38191,0,0.125663713,-0.127234504,0.5
1684869342.42171,0,0.08011061,-0.081681408,0.5
1684869342.46191,0,0.08011061,-0.081681408,0.5
1684869342.50296,0,0.08011061,-0.081681408,0.5
1684869342.54231,0,0.051836278,-0.053407077,0.5
1684869342.58176,0,0.051836278,-0.053407077,0.5
1684869342.62184,0,0.051836278,-0.053407077,0.5
1684869342.66183,0,0.02984513,-0.031415928,0.5
1684869342.70311,0,0.02984513,-0.031415928,0.5
1684869342.74333,0,0,-0.001570796,0.5
1684869342.78293,0,0,-0.001570796,0.5
1684869342.82201,0,-0.021991149,0.020420352,0.5
1684869342.86205,0,-0.021991149,0.020420352,0.5
1684869342.90294,0,-0.021991149,0.020420352,0.5
1684869342.94298,0,-0.056548666,0.054977871,0.5
1684869342.98271,0,-0.056548666,0.054977871,0.5
1684869343.02176,0,-0.056548666,0.054977871,0.5
1684869343.0617,0,-0.073827431,0.072256632,0.5
1684869343.10152,0,-0.073827431,0.072256632,0.5
1684869343.14211,0,-0.073827431,0.072256632,0.5
1684869343.18321,0,-0.091106184,0.089535393,0.5
1684869343.22285,0,-0.095818579,0.094247781,0.5
1684869343.26234,0,-0.095818579,0.094247781,0.5
1684869343.3017,0,-0.095818579,0.094247781,0.5
1684869343.3423,0,-0.087964594,0.086393796,0.5
1684869343.38253,0,-0.087964594,0.086393796,0.5
1684869343.42237,0,-0.087964594,0.086393796,0.5
1684869343.462,0,-0.094247781,0.092676982,0.5
1684869343.5017,0,-0.094247781,0.092676982,0.5
1684869343.54224,0,-0.094247781,0.092676982,0.5
