stamp,altitude,depth,pressure,temperature
1684869343.86223,-1062.138671875,1.333919525,114390,18.11000061
1684869343.90195,-1095.294067383,1.377752542,114830.0078125,18.11000061
1684869343.94127,-1051.567260742,1.319972634,114250,18.11000061
1684869343.98131,-1040.228759766,1.305029631,114100,18.11000061
1684869344.02207,-1050.811401367,1.318976402,114240,18.11000061
1684869344.06263,-1050.811401367,1.318976402,114240,18.11000061
1684869344.10271,-1040.228759766,1.305029631,114100,18.11000061
1684869344.14245,-1050.811401367,1.318976402,114240,18.11000061
1684869344.18203,-1040.228759766,1.305029631,114100,18.120000839
1684869344.22179,-1050.811401367,1.318976402,114240,18.120000839
1684869344.26162,-1050.811401367,1.318976402,114240,18.120000839
1684869344.30192,-1062.138671875,1.333919525,114390,18.120000839
1684869344.34175,-1018.274536133,1.276139617,113810,18.129999161
1684869344.38299,-1040.228759766,1.305029631,114100,18.129999161
1684869344.4219,-1028.87902832,1.290086508,113950,18.11000061
1684869344.46213,-1018.274536133,1.276139617,113810,18.120000839
1684869344.50189,-1028.87902832,1.290086508,113950,18.129999161
1684869344.54242,-1018.274536133,1.276139617,113810,18.129999161
1684869344.58197,-1018.274536133,1.276139617,113810,18.129999161
1684869344.62195,-1017.517150879,1.275143385,113800,18.13999939
1684869344.66214,-1017.517150879,1.275143385,113800,18.13999939
1684869344.70165,-1017.517150879,1.275143385,113800,18.13999939
1684869344.74139,-1028.87902832,1.290086508,113950,18.13999939
1684869344.78107,-984.877380371,1.2323066,113369.9921875,18.13999939
1684869344.82313,-1006.901367188,1.261196494,113660,18.13999939
1684869344.86242,-995.515136719,1.24625349,113510,18.13999939
1684869344.90235,-995.515136719,1.24625349,113510,18.149999619
1684869344.94252,-973.468444824,1.217363477,113219.9921875,18.149999619
1684869344.98215,-973.468444824,1.217363477,113219.9921875,18.149999619
1684869345.02273,-1006.901367188,1.261196494,113660,18.149999619
1684869345.06171,-1006.901367188,1.261196494,113660,18.149999619
1684869345.10158,-973.468444824,1.217363477,113219.9921875,18.149999619
1684869345.14187,-939.931152344,1.173530459,112780.0078125,18.149999619
1684869345.1828,-962.047302246,1.202420354,113069.9921875,18.149999619
1684869345.22252,-962.047302246,1.202420354,113069.9921875,18.149999619
1684869345.26272,-951.376953125,1.188473463,112930.0078125,18.149999619
1684869345.30229,-951.376953125,1.188473463,112930.0078125,18.149999619
1684869345.34228,-939.931152344,1.173530459,112780.0078125,18.149999619
1684869345.38241,-929.238525391,1.159583569,112640,18.149999619
1684869345.42262,-928.473876953,1.158587337,112630.0078125,18.159999847
1684869345.46296,-939.931152344,1.173530459,112780.0078125,18.149999619
1684869345.50194,-917.768859863,1.144640446,112490,18.159999847
1684869345.54174,-906.287658691,1.129697323,112340,18.159999847
1684869345.58155,-895.560241699,1.115750432,112200,18.159999847
1684869345.62105,-906.287658691,1.129697323,112340,18.159999847
1684869345.6613,-906.287658691,1.129697323,112340,18.159999847
1684869345.70245,-895.560241699,1.115750432,112200,18.159999847
1684869345.74258,-895.560241699,1.115750432,112200,18.159999847
1684869345.78202,-861.774841309,1.071917415,111760,18.159999847
1684869345.82207,-917.768859863,1.144640446,112490,18.159999847
1684869345.86225,-917.768859863,1.144640446,112490,18.159999847
1684869345.90291,-906.287658691,1.129697323,112340,18.159999847
1684869345.94309,-872.536437988,1.085864305,111900,18.170000076
1684869345.98141,-872.536437988,1.085864305,111900,18.159999847
1684869346.0218,-872.536437988,1.085864305,111900,18.170000076
1684869346.06165,-895.560241699,1.115750432,112200,18.170000076
1684869346.10221,-861.774841309,1.071917415,111760,18.170000076
1684869346.14282,-861.774841309,1.071917415,111760,18.170000076
1684869346.18259,-884.055053711,1.100807428,112050,18.170000076
1684869346.22227,-850.232910156,1.056974292,111610,18.180000305
1684869346.2616,-850.232910156,1.056974292,111610,18.180000305
1684869346.30324,-861.774841309,1.071917415,111760,18.170000076
1684869346.3428,-850.232910156,1.056974292,111610,18.180000305
1684869346.3824,-838.678466797,1.042031288,111460,18.180000305
1684869346.42221,-838.678466797,1.042031288,111460,18.180000305
1684869346.46147,-827.882446289,1.028084397,111319.9921875,18.180000305
1684869346.50131,-850.232910156,1.056974292,111610,18.180000305
1684869346.54205,-827.882446289,1.028084397,111319.9921875,18.180000305
1684869346.58302,-816.30267334,1.013141274,111169.9921875,18.180000305
1684869346.62293,-816.30267334,1.013141274,111169.9921875,18.180000305
1684869346.66246,-816.30267334,1.013141274,111169.9921875,18.180000305
1684869346.70213,-838.678466797,1.042031288,111460,18.180000305
1684869346.74162,-827.882446289,1.028084397,111319.9921875,18.180000305
1684869346.78277,-838.678466797,1.042031288,111460,18.180000305
1684869346.8228,-793.881469727,0.98425132,110880.0078125,18.190000534
1684869346.86235,-827.882446289,1.028084397,111319.9921875,18.190000534
1684869346.9021,-838.678466797,1.042031288,111460,18.190000534
1684869346.94156,-805.484802246,0.999194384,111030.0078125,18.180000305
1684869346.98233,-838.678466797,1.042031288,111460,18.190000534
1684869347.02243,-872.536437988,1.085864305,111900,18.190000534
1684869347.06315,-816.30267334,1.013141274,111169.9921875,18.190000534
1684869347.10248,-827.882446289,1.028084397,111319.9921875,18.190000534
1684869347.14195,-816.30267334,1.013141274,111169.9921875,18.200000763
1684869347.18197,-838.678466797,1.042031288,111460,18.190000534
1684869347.22154,-793.881469727,0.98425132,110880.0078125,18.190000534
1684869347.2616,-816.30267334,1.013141274,111169.9921875,18.190000534
1684869347.3023,-816.30267334,1.013141274,111169.9921875,18.190000534
1684869347.34321,-816.30267334,1.013141274,111169.9921875,18.200000763
1684869347.38118,-805.484802246,0.999194384,111030.0078125,18.200000763
1684869347.42121,-805.484802246,0.999194384,111030.0078125,18.200000763
1684869347.46212,-793.881469727,0.98425132,110880.0078125,18.190000534
1684869347.50208,-816.30267334,1.013141274,111169.9921875,18.190000534
1684869347.54268,-771.411743164,0.955361366,110590,18.200000763
1684869347.58269,-816.30267334,1.013141274,111169.9921875,18.190000534
1684869347.62206,-782.265441895,0.969308197,110730.0078125,18.200000763
1684869347.66222,-816.30267334,1.013141274,111169.9921875,18.200000763
1684869347.70197,-793.881469727,0.98425132,110880.0078125,18.200000763
1684869347.74197,-816.30267334,1.013141274,111169.9921875,18.200000763
1684869347.78217,-816.30267334,1.013141274,111169.9921875,18.200000763
1684869347.82242,-793.881469727,0.98425132,110880.0078125,18.200000763
1684869347.86244,-816.30267334,1.013141274,111169.9921875,18.200000763
1684869347.90229,-838.678466797,1.042031288,111460,18.200000763
1684869347.94234,-827.882446289,1.028084397,111319.9921875,18.200000763
1684869347.98293,-804.711181641,0.998198211,111019.9921875,18.200000763
1684869348.02225,-816.30267334,1.013141274,111169.9921875,18.200000763
1684869348.06169,-793.881469727,0.98425132,110880.0078125,18.200000763
1684869348.10181,-804.711181641,0.998198211,111019.9921875,18.200000763
1684869348.14181,-782.265441895,0.969308197,110730.0078125,18.200000763
1684869348.18164,-816.30267334,1.013141274,111169.9921875,18.200000763
1684869348.22124,-827.882446289,1.028084397,111319.9921875,18.200000763
1684869348.26284,-793.881469727,0.98425132,110880.0078125,18.200000763
1684869348.30282,-793.881469727,0.98425132,110880.0078125,18.200000763
1684869348.34209,-838.678466797,1.042031288,111460,18.200000763
