stamp,angular_velocity/x,angular_velocity/y,angular_velocity/z,linear_acceleration/x,linear_acceleration/y,linear_acceleration/z,pitch
1684869337.38158,0.00173363,-0.00168205,-0.00160583,-0.84439683,3.089316845,9.298887253,-0.086181753
1684869337.42158,0.00221544,-0.00172219,-0.00153613,-0.814752102,3.075637102,9.294341087,-0.083149
1684869337.46188,0.00243297,-0.00177925,-0.00150781,-0.835736573,2.95585227,9.249083519,-0.0852957
1684869337.50263,0.00255746,-0.00187262,-0.00145598,-0.783307374,3.124314547,9.291274071,-0.079932938
1684869337.54289,0.00259891,-0.00192405,-0.00146022,-0.687868476,3.161560535,9.271583557,-0.070176697
1684869337.5824,0.00247804,-0.00196004,-0.00142268,-0.703427613,3.143674135,9.222019196,-0.071766749
1684869337.62263,0.00252884,-0.00198818,-0.00141318,-0.769022405,3.17436862,9.09138298,-0.078472195
1684869337.6623,0.00260287,-0.00201193,-0.00141768,-0.587847173,3.33668232,9.338173866,-0.059959179
1684869337.70276,0.00231543,-0.00201467,-0.00143608,-0.555259109,3.409000874,9.04701519,-0.056631602
1684869337.74269,0.0020373,-0.0020081,-0.00144062,-0.548239827,3.403023005,9.257005692,-0.055914945
1684869337.78194,0.0020372,-0.00201722,-0.0014173,-0.550182343,3.57631731,9.039658546,-0.05611327
1684869337.82198,0.00181951,-0.00199277,-0.00146386,-0.468696654,3.486531973,9.058238983,-0.047795632
1684869337.86153,0.00183797,-0.00200209,-0.00144985,-0.48719573,3.483453035,9.092736244,-0.049683611
1684869337.90171,0.00168511,-0.00198254,-0.00146852,-0.356241673,3.581790924,9.196196556,-0.036322122
1684869337.94188,0.00177344,-0.00195072,-0.00146882,-0.374509454,3.756055117,9.031133652,-0.038185574
1684869337.98141,0.00170413,-0.00191793,-0.00150625,-0.318503171,3.618466377,9.086782455,-0.032472901
1684869338.02213,0.00148626,-0.00189753,-0.00146447,-0.265350729,3.576113224,9.190517426,-0.027052303
1684869338.06195,0.00121761,-0.00185391,-0.00148328,-0.303489208,3.785209894,9.029280663,-0.030941655
1684869338.10196,0.00118983,-0.00184432,-0.00146475,-0.274610579,3.771687508,8.915902138,-0.027996581
1684869338.14196,0.00109732,-0.00182549,-0.00152528,-0.200886533,3.715037823,9.049600601,-0.020479162
1684869338.18267,0.00102774,-0.00183908,-0.00155306,-0.11306984,3.825441122,9.145936012,-0.011526233
1684869338.22211,0.00087945,-0.00183348,-0.00158565,-0.196646497,3.91151309,8.932063103,-0.020046857
1684869338.26168,0.00090733,-0.00185722,-0.00159463,-0.111627802,3.834641695,8.989414215,-0.011379226
1684869338.30173,0.00077291,-0.00184243,-0.0015993,-0.11000488,3.850139141,8.932793617,-0.01121378
1684869338.34208,0.00046227,-0.0018215,-0.00160862,-0.109876253,3.904126167,8.996954918,-0.011200668
1684869338.38195,-0.00097401,-0.00168677,-0.00173908,-0.00499245,3.877487659,9.05321312,-0.000508914
1684869338.42313,-0.00207677,-0.00159126,-0.00181825,-0.047500081,3.798563242,9.127863884,-0.004842025
