__time,/riptide_1/imu_broadcaster/imu_status/angular_velocity/x,/riptide_1/imu_broadcaster/imu_status/angular_velocity/y,/riptide_1/imu_broadcaster/imu_status/angular_velocity/z,/riptide_1/imu_broadcaster/imu_status/header/stamp,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/x,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/y,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/z,/riptide_1/pressure_broadcaster/pressure_status/altitude,/riptide_1/pressure_broadcaster/pressure_status/depth,/riptide_1/pressure_broadcaster/pressure_status/header/stamp,/riptide_1/pressure_broadcaster/pressure_status/pressure,/riptide_1/pressure_broadcaster/pressure_status/temperature,/riptide_1/tail_broadcaster/actuators_status/d_fin,/riptide_1/tail_broadcaster/actuators_status/header/stamp,/riptide_1/tail_broadcaster/actuators_status/p_fin,/riptide_1/tail_broadcaster/actuators_status/s_fin,/riptide_1/tail_broadcaster/actuators_status/thruster,/riptide_1/tail_broadcaster/multiplexer_status/automatic,/riptide_1/tail_broadcaster/multiplexer_status/header/stamp,/riptide_1/tail_broadcaster/multiplexer_status/remaining_time,/riptide_1/tail_broadcaster/rc_status/axes.0,/riptide_1/tail_broadcaster/rc_status/axes.1,/riptide_1/tail_broadcaster/rc_status/axes.2,/riptide_1/tail_broadcaster/rc_status/axes.3,/riptide_1/tail_broadcaster/rc_status/axes.4,/riptide_1/tail_broadcaster/rc_status/axes.5,/riptide_1/tail_broadcaster/rc_status/header/stamp,pitch_from_accel
1684869330.58204,,,,,,,,,,,,,0,1684869330.58204,0,0,0,,,,,,,,,,,
1684869330.58205,,,,,,,,,,,,,,,,,,,,,-1,0.600000024,0,0.008,0.128000006,-0.143999994,1684869330.58205,
1684869330.58206,,,,,,,,,,,,,,,,,,0,1684869330.58206,0,,,,,,,,
1684869330.58207,-0.00428939,-0.00060989,-0.00056548,1684869330.58207,-0.440543592,0.585997999,9.683252335,,,,,,,,,,,,,,,,,,,,,-0.044922712
1684869330.62194,,,,,,,,53.561992645,-0.063757166,1684869330.62194,100360,18.229999542,,,,,,,,,,,,,,,,
1684869330.62196,,,,,,,,,,,,,0,1684869330.62196,0,0,0,,,,,,,,,,,
1684869330.62197,,,,,,,,,,,,,,,,,,,,,-1,-1,0.008,0,0.136000007,-0.143999994,1684869330.62197,
1684869330.62198,,,,,,,,,,,,,,,,,,1,1684869330.62198,59.999000549,,,,,,,,
1684869330.62199,-0.00470174,-0.00064641,-0.00081598,1684869330.62199,-0.441070229,0.523400128,9.868711472,,,,,,,,,,,,,,,,,,,,,-0.044976449
1684869330.66165,,,,,,,,53.561992645,-0.063757166,1684869330.66165,100360,18.229999542,,,,,,,,,,,,,,,,
1684869330.66167,,,,,,,,,,,,,0,1684869330.66167,0,0,0,,,,,,,,,,,
1684869330.66168,,,,,,,,,,,,,,,,,,,,,-1,-1,0,0.008,0.136000007,-0.143999994,1684869330.66168,
1684869330.66168,,,,,,,,,,,,,,,,,,1,1684869330.66168,59.951999664,,,,,,,,
1684869330.6617,-0.00491933,-0.0006603,-0.00103885,1684869330.6617,-0.406192392,0.404915154,9.926323891,,,,,,,,,,,,,,,,,,,,,-0.041417793
1684869330.7024,,,,,,,,41.821990967,-0.04981029,1684869330.7024,100500,18.239999771,,,,,,,,,,,,,,,,
1684869330.70242,,,,,,,,,,,,,0,1684869330.70242,0.442964554,-0.444535375,0.5,,,,,,,,,,,
1684869330.70243,,,,,,,,,,,,,,,,,,,,,-1,-1,0,0.008,0.136000007,-0.143999994,1684869330.70243,
1684869330.70243,,,,,,,,,,,,,,,,,,1,1684869330.70243,59.903999329,,,,,,,,
1684869330.70244,-0.00509987,-0.00134115,-0.00099128,1684869330.70244,-0.468344033,-0.084222488,9.335232735,,,,,,,,,,,,,,,,,,,,,-0.047759646
1684869330.74247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684869330.74787,,,,,,,,41.821990967,-0.04981029,1684869330.74787,100500,18.239999771,,,,,,,,,,,,,,,,
1684869330.74789,,,,,,,,,,,,,0,1684869330.74789,0.442964554,-0.444535375,0.5,,,,,,,,,,,
1684869330.7479,,,,,,,,,,,,,,,,,,,,,-1,-1,0.008,0,0.136000007,-0.143999994,1684869330.7479,
1684869330.74791,,,,,,,,,,,,,,,,,,1,1684869330.74791,59.856998444,,,,,,,,
1684869330.74792,-0.00512517,-0.00168461,-0.0009977,1684869330.74792,-0.373624265,0.213291466,9.784090042,,,,,,,,,,,,,,,,,,,,,-0.038095275
1684869330.78314,,,,,,,,53.561992645,-0.063757166,1684869330.78314,100360,18.229999542,,,,,,,,,,,,,,,,
1684869330.78316,,,,,,,,,,,,,0,1684869330.78316,0.442964554,-0.444535375,0.5,,,,,,,,,,,
1684869330.78317,,,,,,,,,,,,,,,,,,,,,-1,-1,0,0.008,0.128000006,-0.143999994,1684869330.78317,
1684869330.78318,,,,,,,,,,,,,,,,,,1,1684869330.78318,59.833999634,,,,,,,,
1684869330.78319,-0.0048128,-0.0021368,-0.00093834,1684869330.78319,-0.378847867,0.095962033,9.610222816,,,,,,,,,,,,,,,,,,,,,-0.038628145
1684869330.82273,,,,,,,,53.561992645,-0.063757166,1684869330.82273,100360,18.219999313,,,,,,,,,,,,,,,,
1684869330.82274,,,,,,,,,,,,,0,1684869330.82274,0.444535375,-0.446106166,0.5,,,,,,,,,,,
1684869330.82275,,,,,,,,,,,,,,,,,,,,,-1,-1,0,0.008,0.136000007,-0.143999994,1684869330.82275,
1684869330.82276,,,,,,,,,,,,,,,,,,1,1684869330.82276,59.785999298,,,,,,,,
1684869330.82277,-0.00641555,-0.00262658,-0.00093808,1684869330.82277,-0.172459334,0.15170826,9.097084999,,,,,,,,,,,,,,,,,,,,,-0.017580858
1684869330.84285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684869330.86204,,,,,,,,41.821990967,-0.04981029,1684869330.86204,100500,18.239999771,,,,,,,,,,,,,,,,
1684869330.86206,,,,,,,,,,,,,0,1684869330.86205,0.444535375,-0.446106166,0.5,,,,,,,,,,,
1684869330.86207,,,,,,,,,,,,,,,,,,,,,-1,-1,0,0.008,0.128000006,-0.143999994,1684869330.86206,
1684869330.86207,,,,,,,,,,,,,,,,,,1,1684869330.86207,59.738998413,,,,,,,,
1684869330.86208,-0.01180512,-0.00298451,-0.001197,1684869330.86208,-0.151696697,-0.235373423,9.889479637,,,,,,,,,,,,,,,,,,,,,-0.015464092
1684869330.90179,,,,,,,,41.821990967,-0.04981029,1684869330.90179,100500,18.239999771,,,,,,,,,,,,,,,,
1684869330.90183,,,,,,,,,,,,,0,1684869330.90183,0.444535375,-0.446106166,0.5,,,,,,,,,,,
1684869330.90184,,,,,,,,,,,,,,,,,,,,,-1,-1,0.008,0,0.136000007,-0.143999994,1684869330.90184,
1684869330.90185,,,,,,,,,,,,,,,,,,1,1684869330.90185,59.715000153,,,,,,,,
1684869330.90186,-0.016314261,-0.00338012,-0.00130739,1684869330.90186,-0.255147636,-0.669004738,9.54818821,,,,,,,,,,,,,,,,,,,,,-0.026011867
1684869330.94126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684869330.94248,,,,,,,,17.544509888,-0.020920321,1684869330.94248,100790,18.239999771,,,,,,,,,,,,,,,,
1684869330.9425,,,,,,,,,,,,,0,1684869330.9425,0.425685793,-0.427256614,0.5,,,,,,,,,,,
1684869330.94251,,,,,,,,,,,,,,,,,,,,,-1,-1,0.016000001,0.008,0.136000007,-0.143999994,1684869330.94251,
1684869330.94252,,,,,,,,,,,,,,,,,,1,1684869330.94252,59.667999268,,,,,,,,
1684869330.94253,-0.016377199,-0.00370222,-0.00096074,1684869330.94253,-0.29442969,-1.219957232,9.461636543,,,,,,,,,,,,,,,,,,,,,-0.030017728
1684869330.98304,,,,,,,,16.708433151,-0.019924115,1684869330.98304,100800,18.229999542,,,,,,,,,,,,,,,,
1684869330.98307,,,,,,,,,,,,,0,1684869330.98307,0.430398196,-0.431968987,0.5,,,,,,,,,,,
1684869330.98308,,,,,,,,,,,,,,,,,,,,,-1,-1,0.008,0,0.136000007,-0.143999994,1684869330.98308,
1684869330.98309,,,,,,,,,,,,,,,,,,1,1684869330.98309,59.620998383,,,,,,,,
1684869330.9831,-0.01564757,-0.00400515,-0.00038232,1684869330.9831,-0.446687996,-1.750192881,9.503035545,,,,,,,,,,,,,,,,,,,,,-0.045549694
1684869331.02263,,,,,,,,16.708433151,-0.019924115,1684869331.02263,100800,18.229999542,,,,,,,,,,,,,,,,
1684869331.02265,,,,,,,,,,,,,0,1684869331.02265,0.430398196,-0.431968987,0.5,,,,,,,,,,,
1684869331.02268,,,,,,,,,,,,,,,,,,,,,-1,-1,0,0.008,0.128000006,-0.143999994,1684869331.02268,
1684869331.02269,,,,,,,,,,,,,,,,,,1,1684869331.02269,59.597999573,,,,,,,,
1684869331.0227,-0.0159334,-0.00433406,0.00009931,1684869331.0227,0.133654326,-2.28254962,9.46452713,,,,,,,,,,,,,,,,,,,,,0.013624716
1684869331.04164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684869331.06136,,,,,,,,17.544509888,-0.020920321,1684869331.06136,100790,18.239999771,,,,,,,,,,,,,,,,
1684869331.06137,,,,,,,,,,,,,0,1684869331.06137,0.430398196,-0.431968987,0.5,,,,,,,,,,,
1684869331.06138,,,,,,,,,,,,,,,,,,,,,-1,-1,0,0.008,0.128000006,-0.136000007,1684869331.06138,
1684869331.06139,,,,,,,,,,,,,,,,,,1,1684869331.06139,59.549999237,,,,,,,,
