stamp,depth,pressure
1686731148.61996,2.001424551,120933.9765625
1686731148.66066,2.001264095,120932.3984375
1686731148.70095,2.001095057,120930.7421875
1686731148.74135,2.000923634,120929.0625
1686731148.77965,2.000753403,120927.390625
1686731148.82016,2.000587225,120925.7578125
1686731148.8609,2.000428677,120924.203125
1686731148.90018,2.000280857,120922.7578125
1686731148.9408,2.000146151,120921.4375
1686731148.98013,2.000025988,120920.2578125
1686731149.02017,1.999920964,120919.2265625
1686731149.06066,1.999831438,120918.34375
1686731149.10076,1.999757648,120917.625
1686731149.1407,1.999698997,120917.046875
1686731149.18071,1.999655128,120916.6171875
1686731149.22107,1.999625564,120916.328125
1686731149.26112,1.999608636,120916.1640625
1686731149.30012,1.999603152,120916.109375
1686731149.33998,1.999607325,120916.1484375
1686731149.38002,1.99962008,120916.2734375
1686731149.42017,1.999640465,120916.46875
1686731149.46094,1.999666691,120916.7265625
1686731149.49939,1.999697328,120917.03125
1686731149.53892,1.999730706,120917.359375
1686731149.5792,1.999765873,120917.703125
1686731149.62081,1.999802113,120918.0625
1686731149.66074,1.999838233,120918.4140625
1686731149.69997,1.999873281,120918.7578125
1686731149.74012,1.99990654,120919.0859375
1686731149.78083,1.999937415,120919.3828125
1686731149.82091,1.999965787,120919.6640625
1686731149.86099,1.999991298,120919.9140625
1686731149.90015,2.00001359,120920.1328125
1686731149.94072,2.000032663,120920.3203125
1686731149.98269,2.000048399,120920.4765625
1686731150.02078,2.000060797,120920.59375
1686731150.06089,2.000070095,120920.6875
1686731150.10114,2.000076532,120920.75
1686731150.14081,2.000080585,120920.7890625
1686731150.18052,2.000082016,120920.8046875
1686731150.22097,2.000081301,120920.796875
1686731150.26083,2.000078917,120920.7734375
1686731150.3007,2.000074863,120920.734375
1686731150.33816,2.000069618,120920.6796875
1686731150.3779,2.000063419,120920.625
1686731150.41777,2.000056505,120920.5546875
1686731150.459,2.000049353,120920.484375
1686731150.5009,2.000041962,120920.4140625
1686731150.54074,2.000034571,120920.3359375
1686731150.58085,2.000027418,120920.265625
1686731150.62078,2.000020504,120920.203125
1686731150.66099,2.000014067,120920.140625
1686731150.70077,2.000008106,120920.078125
1686731150.74076,2.000002861,120920.03125
1686731150.78021,1.999998093,120919.984375
1686731150.82086,1.999994159,120919.9453125
1686731150.86081,1.999990821,120919.90625
1686731150.89974,1.999988079,120919.8828125
1686731150.94007,1.999986053,120919.8671875
1686731150.98083,1.999984622,120919.8515625
1686731151.01968,1.999983668,120919.84375
1686731151.06102,1.999983311,120919.8359375
1686731151.10098,1.999983311,120919.8359375
1686731151.14077,1.999983788,120919.84375
1686731151.17828,1.999984503,120919.8515625
1686731151.21747,1.999985576,120919.859375
1686731151.25734,1.999986768,120919.8671875
1686731151.29773,1.999988079,120919.8828125
1686731151.33851,1.999989629,120919.8984375
1686731151.38071,1.999991179,120919.9140625
1686731151.42074,1.999992728,120919.9296875
1686731151.46337,1.999994159,120919.9453125
1686731151.50079,1.999995589,120919.953125
1686731151.54012,1.999996901,120919.96875
1686731151.58062,1.999998212,120919.984375
1686731151.62085,1.999999285,120919.9921875
1686731151.661,2.000000238,120920
1686731151.70002,2.000001192,120920.0078125
1686731151.74093,2.000001907,120920.015625
1686731151.78102,2.000002384,120920.0234375
1686731151.82076,2.000002861,120920.03125
1686731151.86227,2.000003099,120920.03125
1686731151.90106,2.000003338,120920.03125
1686731151.93988,2.000003338,120920.03125
1686731151.98072,2.000003338,120920.03125
1686731152.02,2.000003338,120920.03125
1686731152.06095,2.000003099,120920.03125
1686731152.10126,2.000002861,120920.03125
1686731152.14055,2.000002623,120920.0234375
1686731152.17992,2.000002384,120920.0234375
1686731152.21969,2.000002146,120920.0234375
1686731152.26081,2.000001907,120920.015625
1686731152.2999,2.000001431,120920.015625
1686731152.34022,2.000001192,120920.015625
1686731152.38108,2.000000954,120920.0078125
1686731152.42007,2.000000715,120920.0078125
1686731152.46272,2.000000477,120920
1686731152.50003,2.000000238,120920
1686731152.53992,2,120920
1686731152.58019,1.999999762,120920
1686731152.62086,1.999999642,120920
1686731152.66112,1.999999523,120919.9921875
1686731152.70061,1.999999404,120919.9921875
1686731152.74079,1.999999285,120919.9921875
1686731152.78057,1.999999285,120919.9921875
1686731152.8178,1.999999285,120919.9921875
1686731152.85766,1.999999285,120919.9921875
1686731152.89792,1.999999285,120919.9921875
1686731152.93847,1.999999285,120919.9921875
1686731152.98077,1.999999404,120919.9921875
1686731153.01993,1.999999404,120919.9921875
1686731153.06091,1.999999523,120919.9921875
1686731153.10031,1.999999523,120919.9921875
1686731153.14016,1.999999642,120920
1686731153.18085,1.999999642,120920
1686731153.2203,1.999999762,120920
1686731153.2602,1.999999762,120920
1686731153.30095,1.999999881,120920
1686731153.34134,1.999999881,120920
1686731153.38028,2,120920
1686731153.421,2,120920
1686731153.46082,2,120920
1686731153.50078,2,120920
1686731153.54089,2,120920
1686731153.58105,2,120920
1686731153.62089,2.000000238,120920
1686731153.66025,2.000000238,120920
1686731153.70023,2.000000238,120920
1686731153.74014,2.000000238,120920
1686731153.7809,2.000000238,120920
1686731153.82028,2.000000238,120920
1686731153.86092,2.000000238,120920
1686731153.90025,2,120920
1686731153.94127,2,120920
1686731153.98023,2,120920
