stamp,angular_velocity/x,angular_velocity/y,angular_velocity/z,linear_acceleration/x,linear_acceleration/y,linear_acceleration/z,pitch_deg,roll_deg,orientation/w,orientation/x,orientation/y,yaw_deg,orientation/z
1686731147.70087,0,0.016205122,0,-0.052041222,0,9.748616724,0.304260857,0,0.999996475,0,0.002655174,0,0
1686731147.74077,0,0.011776908,0,-0.057314036,0,9.762590547,0.335088889,0,0.999995725,0,0.002924198,0,0
1686731147.78079,0,0.009643958,0,-0.061410538,0,9.769310713,0.359039558,0,0.999995091,0,0.003133206,0,0
1686731147.82015,0,0.002715615,0,-0.063678997,0,9.79120558,0.37230239,0,0.999994722,0,0.003248946,0,0
1686731147.86079,0,-0.001196997,0,-0.063789698,0,9.803577626,0.372949618,0,0.999994704,0,0.003254594,0,0
1686731147.90014,0,-0.005865293,0,-0.062265997,0,9.818349873,0.364041103,0,0.999994954,0,0.003176853,0,0
1686731147.9409,0,-0.008385329,0,-0.059352523,0,9.826337007,0.347007126,0,0.999995415,0,0.003028204,0,0
1686731147.98102,0,-0.009599162,0,-0.055769627,0,9.830196529,0.326059336,0,0.999995952,0,0.002845401,0,0
1686731148.02074,0,-0.012105077,0,-0.051453577,0,9.838144537,0.300825138,0,0.999996554,0,0.002625192,0,0
1686731148.06103,0,-0.013499453,0,-0.046368529,0,9.842579321,0.271094993,0,0.999997202,0,0.002365748,0,0
1686731148.09991,0,-0.014416931,0,-0.040860512,0,9.845505156,0.238892008,0,0.999997827,0,0.002084725,0,0
1686731148.14085,0,-0.014882828,0,-0.035095542,0,9.847000793,0.20518681,0,0.999998397,0,0.001790592,0,0
1686731148.18084,0,-0.015107238,0,-0.029206799,0,9.84772976,0.170758038,0,0.99999889,0,0.001490144,0,0
1686731148.22081,0,-0.014318692,0,-0.023450109,0,9.845251624,0.137101385,0,0.999999284,0,0.001196435,0,0
1686731148.26085,0,-0.013851437,0,-0.017951102,0,9.84378565,0.104951322,0,0.999999581,0,0.000915873,0,0
1686731148.3009,0,-0.012502393,0,-0.012816489,0,9.839527657,0.074931727,0,0.999999786,0,0.000653903,0,0
1686731148.3407,0,-0.011742993,0,-0.00810068,0,9.837131256,0.047360699,0,0.999999915,0,0.0004133,0,0
1686731148.38181,0,-0.01137721,0,-0.003586599,0,9.835977242,0.020969079,0,0.999999983,0,0.00018299,0,0
1686731148.42044,0,-0.009289022,0,0.000421581,0,9.829374459,-0.002464776,0,1,0,-0.000021509,0,0
1686731148.46103,0,-0.008096755,0,0.003772226,0,9.825603461,-0.022054351,0,0.999999981,0,-0.000192461,0,0
1686731148.5,0,-0.006201191,0,0.006523699,0,9.819607716,-0.038140864,0,0.999999945,0,-0.000332842,0,0
1686731148.54084,0,-0.005159308,0,0.008700575,0,9.816311301,-0.050867988,0,0.999999901,0,-0.000443907,0,0
1686731148.581,0,-0.004657461,0,0.010600682,0,9.814722451,-0.061976986,0,0.999999854,0,-0.000540851,0,0
1686731148.61997,0,-0.002820865,0,0.012026536,0,9.808912979,-0.07031326,0,0.999999812,0,-0.000613599,0,0
1686731148.66067,0,-0.001780707,0,0.012878745,0,9.805622628,-0.075295707,0,0.999999784,0,-0.000657079,0,0
1686731148.70095,0,-0.000427562,0,0.013272481,0,9.801343082,-0.07759769,0,0.999999771,0,-0.000677168,0,0
1686731148.74136,0,0.000307304,0,0.013260939,0,9.799019247,-0.077530212,0,0.999999771,0,-0.000676579,0,0
1686731148.77965,0,0.000661269,0,0.013054186,0,9.797900188,-0.076321429,0,0.999999778,0,-0.00066603,0,0
1686731148.82017,0,0.001585473,0,0.012592282,0,9.794978203,-0.073620902,0,0.999999794,0,-0.000642464,0,0
1686731148.86092,0,0.002104133,0,0.011844338,0,9.793338988,-0.069248037,0,0.999999817,0,-0.000604303,0,0
1686731148.90019,0,0.002608422,0,0.010904219,0,9.791745379,-0.063751616,0,0.999999845,0,-0.000556338,0,0
1686731148.94082,0,0.002876137,0,0.009816454,0,9.790899939,-0.057391989,0,0.999999875,0,-0.00050084,0,0
1686731148.98014,0,0.003005089,0,0.008657573,0,9.790493251,-0.050616578,0,0.999999902,0,-0.000441713,0,0
1686731149.02018,0,0.003081585,0,0.007461362,0,9.790252331,-0.043622918,0,0.999999928,0,-0.000380682,0,0
1686731149.06067,0,0.003119834,0,0.006244057,0,9.790132228,-0.03650593,0,0.999999949,0,-0.000318574,0,0
1686731149.10077,0,0.002988083,0,0.005048694,0,9.790549551,-0.029517231,0,0.999999967,0,-0.000257586,0,0
