stamp,d_fin,p_fin,s_fin,thruster
1686731146.77971,0,-0.002456493,0.002456493,1
1686731146.82052,0,-0.00153588,0.00153588,1
1686731146.86097,0,-0.001101309,0.001101309,1
1686731146.90083,0,-0.000451803,0.000451803,1
1686731146.94028,0,-0.00016675,0.00016675,1
1686731146.98124,0,0.000011737,-0.000011737,1
1686731147.02069,0,0.000494479,-0.000494479,1
1686731147.06079,0,0.000727003,-0.000727003,1
1686731147.09989,0,0.00097066,-0.00097066,1
1686731147.13821,0,0.001111783,-0.001111783,1
1686731147.17896,0,0.001179758,-0.001179758,1
1686731147.21994,0,0.00126083,-0.00126083,1
1686731147.26087,0,0.001303047,-0.001303047,1
1686731147.3009,0,0.001270837,-0.001270837,1
1686731147.34084,0,0.001255322,-0.001255322,1
1686731147.3821,0,0.001247849,-0.001247849,1
1686731147.4207,0,0.001094512,-0.001094512,1
1686731147.45949,0,0.001027216,-0.001027216,1
1686731147.49806,0,0.00087129,-0.00087129,1
1686731147.53792,0,0.000784781,-0.000784781,1
1686731147.57821,0,0.000743112,-0.000743112,1
1686731147.61848,0,0.000540802,-0.000540802,1
1686731147.6604,0,0.000443355,-0.000443355,1
1686731147.70083,0,0.000282252,-0.000282252,1
1686731147.74073,0,0.00020846,-0.00020846,1
1686731147.78075,0,0.000172916,-0.000172916,1
1686731147.82011,0,0.00004958,-0.00004958,1
1686731147.86075,0,-0.000027647,0.000027647,1
1686731147.9001,0,-0.000107085,0.000107085,1
1686731147.94087,0,-0.000156826,0.000156826,1
1686731147.98099,0,-0.000177053,0.000177053,1
1686731148.0207,0,-0.000225294,0.000225294,1
1686731148.06097,0,-0.00024853,0.00024853,1
1686731148.09988,0,-0.000263216,0.000263216,1
1686731148.14083,0,-0.000272412,0.000272412,1
1686731148.18079,0,-0.000276151,0.000276151,1
1686731148.22077,0,-0.000259986,0.000259986,1
1686731148.2608,0,-0.0002522,0.0002522,1
1686731148.30086,0,-0.000225927,0.000225927,1
1686731148.34066,0,-0.000213272,0.000213272,1
1686731148.38176,0,-0.000207177,0.000207177,1
1686731148.42039,0,-0.000169594,0.000169594,1
1686731148.46099,0,-0.000147826,0.000147826,1
1686731148.49997,0,-0.000113218,0.000113218,1
1686731148.54079,0,-0.000092653,0.000092653,1
1686731148.58097,0,-0.00008429,0.00008429,1
1686731148.61993,0,-0.000051502,0.000051502,1
1686731148.66063,0,-0.000030971,0.000030971,1
1686731148.70092,0,-0.000005547,0.000005547,1
1686731148.74132,0,0.000006699,-0.000006699,1
1686731148.77962,0,0.000012073,-0.000012073,1
1686731148.82013,0,0.000028947,-0.000028947,1
1686731148.86087,0,0.000039184,-0.000039184,1
1686731148.90014,0,0.000047623,-0.000047623,1
1686731148.94078,0,0.000052907,-0.000052907,1
1686731148.9801,0,0.000054865,-0.000054865,1
1686731149.02013,0,0.000056262,-0.000056262,1
1686731149.06064,0,0.000057017,-0.000057017,1
1686731149.10073,0,0.000054315,-0.000054315,1
1686731149.14067,0,0.000053013,-0.000053013,1
1686731149.18069,0,0.000052386,-0.000052386,1
1686731149.22104,0,0.000044927,-0.000044927,1
1686731149.26109,0,0.000041335,-0.000041335,1
1686731149.30008,0,0.000034543,-0.000034543,1
1686731149.33996,0,0.000030609,-0.000030609,1
1686731149.38,0,0.000028714,-0.000028714,1
1686731149.42014,0,0.00002073,-0.00002073,1
1686731149.4609,0,0.000015826,-0.000015826,1
1686731149.49936,0,0.000009812,-0.000009812,1
1686731149.53891,0,0.000006329,-0.000006329,1
1686731149.57917,0,0.000004651,-0.000004651,1
1686731149.62078,0,-0.000001333,0.000001333,1
1686731149.66072,0,-0.000003766,0.000003766,1
1686731149.69992,0,-0.000006684,0.000006684,1
1686731149.7401,0,-0.000008374,0.000008374,1
1686731149.78081,0,-0.000009254,0.000009254,1
1686731149.82088,0,-0.000010762,0.000010762,1
1686731149.86094,0,-0.000011489,0.000011489,1
1686731149.90011,0,-0.000011744,0.000011744,1
1686731149.94068,0,-0.000011904,0.000011904,1
1686731149.98265,0,-0.000011969,0.000011969,1
1686731150.02076,0,-0.000010957,0.000010957,1
1686731150.06086,0,-0.00001047,0.00001047,1
1686731150.10111,0,-0.00000916,0.00000916,1
1686731150.14079,0,-0.000008529,0.000008529,1
1686731150.18048,0,-0.000008252,0.000008252,1
1686731150.22093,0,-0.000006387,0.000006387,1
1686731150.26078,0,-0.000005501,0.000005501,1
1686731150.30068,0,-0.000003959,0.000003959,1
1686731150.33814,0,-0.000003282,0.000003282,1
1686731150.37789,0,-0.00000289,0.00000289,1
1686731150.41776,0,-0.000001411,0.000001411,1
1686731150.45898,0,-0.000000699,0.000000699,1
1686731150.50087,0,0.00000037,-0.00000037,1
1686731150.5407,0,0.000000805,-0.000000805,1
